DATE,BTC_OPEN,ETH_OPEN
2021-01-14,37369.24,1129.87
2021-01-13,34050.3,1050.31
2021-01-12,35410.26,1086.83
2021-01-11,38181.9,1254.0
2021-01-10,38181.9,1254.0
2021-01-10,40093.11,1276.15
2021-01-09,40091.11,1276.15
2021-01-09,40594.55,1216.62
2021-01-08,40600.0,1217.73
2021-01-08,39426.45,1224.94
2021-01-07,39430.39,1224.81
2021-01-07,36780.0,1207.61
2021-01-06,36755.12,1207.88
2021-01-06,33966.57,1099.89
2021-01-05,33945.29,1100.22
2021-01-05,32004.62,1040.99
2021-01-04,31996.27,1042.59
2021-01-04,33026.03,978.38
2021-01-03,33012.98,977.82
2021-01-03,32202.55,774.85
2021-01-02,32184.51,774.93
2021-01-02,29322.32,728.62
2021-01-01,29330.14,728.23
2021-01-01,28917.9,736.21
2020-12-31,28920.33,735.97
2020-12-31,28886.28,752.02
2020-12-30,28884.25,752.01
2020-12-30,27370.0,732.77
2020-12-29,27370.0,732.25
2020-12-29,27072.6,731.04
2020-12-28,27076.18,730.5
2020-12-28,26288.74,685.35
2020-12-27,26289.03,684.69
2020-12-27,26457.13,637.76
2020-12-26,26449.62,636.34
2020-12-26,24712.37,626.94
2020-12-25,24690.6,626.71
2020-12-25,23750.24,612.58
2020-12-24,23738.86,612.43
2020-12-24,23235.17,585.33
2020-12-23,23235.17,585.89
2020-12-23,23810.95,636.7
2020-12-22,23808.33,636.98
2020-12-22,22727.09,608.93
2020-12-21,22713.86,608.0
2020-12-21,23466.4,637.79
2020-12-20,23488.58,638.4
2020-12-20,23827.5,658.16
2020-12-19,23821.7,658.89
2020-12-19,23110.0,654.32
2020-12-18,23102.47,653.61
2020-12-18,22800.54,643.08
2020-12-17,22800.29,643.18
2020-12-17,21327.99,637.32
2020-12-16,19423.38,588.7
2020-12-15,19277.22,586.65
2020-12-14,19159.51,590.67
2020-12-13,18802.55,569.22
2020-12-12,18025.82,543.69
2020-12-11,18240.72,558.58
2020-12-10,18539.38,574.58
2020-12-09,18319.96,554.0
2020-12-08,19176.93,590.86
2020-12-07,19365.75,602.22
2020-12-06,19149.14,597.05
2020-12-05,18650.0,567.21
2020-12-04,19418.11,615.24
2020-12-03,19203.86,597.0
2020-12-02,18762.94,585.0
2020-12-01,19695.51,616.66
